,ID,lat,long,Sea_level.mm,C,year
6224,148,39.267,-76.578,6883,N,1918
6545,135,39.933,-75.142,6779,N,1918
8021,183,43.657,-70.247,7000,N,1918
117,155,21.307,-157.867,6916,N,1918
6739,180,39.355,-74.418,6818,N,1918
3659,161,29.31,-94.793,6761,N,1918
7012,12,40.7,-74.013,6835,N,1918
1833,127,47.602,-122.338,7011,N,1918
4526,188,24.555,-81.807,7016,N,1918
3230,158,32.713,-117.173,6978,N,1918
5003,112,30.672,-81.465,7035,N,1918
6546,135,39.933,-75.142,6837,N,1919
1834,127,47.602,-122.338,6980,N,1919
118,155,21.307,-157.867,6995,N,1919
3660,161,29.31,-94.793,6870,N,1919
1428,225,55.332,-131.625,7081,N,1919
5004,112,30.672,-81.465,7126,N,1919
7013,12,40.7,-74.013,6886,N,1919
3231,158,32.713,-117.173,6936,N,1919
4527,188,24.555,-81.807,7017,N,1919
6740,180,39.355,-74.418,6861,N,1919
4232,199,29.133,-83.033,6995,N,1919
6411,224,38.782,-75.12,6895,Y,1919
8022,183,43.657,-70.247,7027,N,1919
2480,10,37.807,-122.465,6931,N,1919
6225,148,39.267,-76.578,6913,N,1919
3232,158,32.713,-117.173,6940,N,1920
2481,10,37.807,-122.465,6908,N,1920
5005,112,30.672,-81.465,7053,N,1920
1429,225,55.332,-131.625,7063,N,1920
8023,183,43.657,-70.247,7015,N,1920
119,155,21.307,-157.867,7070,N,1920
6412,224,38.782,-75.12,NA,N,1920
4528,188,24.555,-81.807,6991,N,1920
7014,12,40.7,-74.013,6863,N,1920
4233,199,29.133,-83.033,6963,N,1920
1835,127,47.602,-122.338,6955,N,1920
6741,180,39.355,-74.418,6842,N,1920
6547,135,39.933,-75.142,6810,N,1920
3661,161,29.31,-94.793,6838,N,1920
6226,148,39.267,-76.578,6872,N,1920
4529,188,24.555,-81.807,7034,N,1921
3233,158,32.713,-117.173,6928,N,1921
3662,161,29.31,-94.793,6940,N,1921
6742,180,39.355,-74.418,NA,N,1921
6548,135,39.933,-75.142,NA,N,1921
120,155,21.307,-157.867,7023,N,1921
7015,12,40.7,-74.013,6887,N,1921
1430,225,55.332,-131.625,7076,N,1921
6413,224,38.782,-75.12,6858,N,1921
1836,127,47.602,-122.338,6963,N,1921
4234,199,29.133,-83.033,6998,N,1921
7834,235,42.353,-71.053,6955,N,1921
8024,183,43.657,-70.247,6999,N,1921
2482,10,37.807,-122.465,6921,N,1921
6227,148,39.267,-76.578,6896,N,1921
5006,112,30.672,-81.465,7112,N,1921
1431,225,55.332,-131.625,7025,N,1922
5188,234,32.782,-79.925,6882,N,1922
2483,10,37.807,-122.465,6911,N,1922
6743,180,39.355,-74.418,NA,N,1922
4530,188,24.555,-81.807,7022,N,1922
3663,161,29.31,-94.793,6878,N,1922
7835,235,42.353,-71.053,6929,N,1922
6228,148,39.267,-76.578,6865,N,1922
6414,224,38.782,-75.12,6842,N,1922
121,155,21.307,-157.867,6984,N,1922
3234,158,32.713,-117.173,6928,N,1922
8025,183,43.657,-70.247,6962,N,1922
5007,112,30.672,-81.465,7059,N,1922
6549,135,39.933,-75.142,NA,N,1922
7016,12,40.7,-74.013,6843,N,1922
4235,199,29.133,-83.033,7007,N,1922
1837,127,47.602,-122.338,6937,N,1922
5008,112,30.672,-81.465,7048,N,1923
7836,235,42.353,-71.053,6924,N,1923
6550,135,39.933,-75.142,6756,N,1923
1432,225,55.332,-131.625,7066,N,1923
7017,12,40.7,-74.013,6850,N,1923
4236,199,29.133,-83.033,6995,N,1923
6229,148,39.267,-76.578,6872,N,1923
6744,180,39.355,-74.418,6806,N,1923
6415,224,38.782,-75.12,NA,N,1923
3235,158,32.713,-117.173,6963,N,1923
5189,234,32.782,-79.925,6862,N,1923
8026,183,43.657,-70.247,6978,N,1923
4531,188,24.555,-81.807,6999,N,1923
2484,10,37.807,-122.465,6903,N,1923
122,155,21.307,-157.867,6973,N,1923
1838,127,47.602,-122.338,6957,N,1923
3664,161,29.31,-94.793,6895,N,1923
4035,246,30.403,-87.21,6873,N,1924
6551,135,39.933,-75.142,6790,N,1924
2985,245,33.72,-118.272,6976,N,1924
7018,12,40.7,-74.013,6857,N,1924
3236,158,32.713,-117.173,6922,N,1924
1433,225,55.332,-131.625,7051,N,1924
