Name,Year,Dates,Surge_FT,Surge_M,Storm_Tide_FT,Storm_Tide_M,Location,State,Lat,Lon,Confidence
David,1979,Aug 25- Sep 8,,,2,0.61,Islamorada and Key West USCG,FL,24.9235,-80.6261,3
Elena,1979,Aug 30- Sep 2,,,3.25,,"Galveston, Texas City, Baytown",TX,29.381,-94.8892,2
Frederic,1979,Aug 29- Sep 15,,,15.3,4.66,Near Orange Beach (Gulf Side),AL,30.2654,-87.598,3
Allen,1980,Jul 31- Aug 11,,,12,3.66,Port Mansfield on Laguna Madre,TX,26.5553,-97.4233,3
Danielle,1980,Sep 4-7,3,0.91,,,Upper Texas & Southwest Louisiana coast,TX/ LA,29.6804,-93.8394,2
Jeanne,1980,Nov 7-16,4,1.22,,,Texas Coast (South),TX,26.4653,-97.2442,2
Chris,1982,Sep 9-12,,,5.5,1.68,Cameron Parish,LA,29.7608,-93.5625,2
Alicia,1983,Aug 15-21,,,12.63,3.85,San Luis Pass (West Bay Side),TX,29.0898,-95.1213,3
Barry,1983,Aug 23-29,2,0.61,,,South Texas Coast,TX,26.0768,-97.157,2
Danny,1985,Aug 12-20,,,8,2.44,South Central Louisiana Coast,LA,29.5875,-92.1469,2
Elena,1985,Aug 28- Sep 4,10,3.05,,,Near Apalachicola,FL,29.7191,-85.0717,2
Elena,1985,Aug 28- Sep 4,1.97,0.6,,,Key West,FL,,,2
Juan,1985,Oct 26- Nov 1,8.2,2.5,,,Bayou Bienvenue,LA,30.0038,-89.8576,3
Kate,1985,Nov 15-23,11,3.35,,,Cape San Blas,FL,29.6689,-85.3275,3
Bonnie,1986,Jun 23-28,5.2,1.58,,,Sabine Pass,TX,29.6833,-94.0333,3
Floyd,1987,Oct 9-14,4,1.22,,,Lower and Middle Keys,FL,24.6481,-81.4164,2
Beryl,1988,Aug 8-10,5.5,1.68,,,Bayou Bienvenue,LA,30.0038,-89.8576,3
Florence,1988,Sep 7-11,6,1.83,7.5,,Bayou Bienvenue,LA,30.0038,-89.8576,3
Gilbert,1988,Sep 8-20,6,1.83,,,S Padre Island,TX,26.0733,-97.1547,3
Keith,1988,Nov 17-26,6,1.83,,,Bradenton,FL,27.4994,-82.5737,3
Allison,1989,Jun 24- Jul 1,2.95,0.9,,,Port Arthur/ Beaumont (WSO),TX,29.865,-93.9353,3
